family id MHI MLI THI TLI MHP MLP THP TLP FT10 FT16
9873 9873 91.6666666666667 93.8333333333333 130.428571428571 138.375 87 133 129 157 66.75 55.66666667
9874 9874 101.285714285714 99 150.5 147.333333333333 96 100 142.5 161 68.75 56.25
9875 9875 98.2 107 158.666666666667 154.5 97.75 105 155.25 163.5 63.75 44.75
9876 9876 117.571428571429 128.666666666667 164 166 122.8 143 164.8 166 87.25 74.75
9878 9878 122.333333333333 120 161.5 161 119.333333333333 NA 154 167 113.25 116
9879 9879 94.4285714285714 92.5 147 135.2 85 85 124 153.5 68.5 59.5
9880 9880 117 121 159.833333333333 164.2 119.25 NA 152.2 138 91.5 87.5
9881 9881 105.6 NA 159.166666666667 164.2 114.5 NA 154.6 169 82 78.5
9882 9882 103.142857142857 107.5 147.571428571429 154 105.25 NA 146.6 165.333333333333 78.5 70.33333333
9883 9883 103.333333333333 107 152.285714285714 158 99.6666666666667 113 153.6 167 60 41.75
9885 9885 129 NA 166.285714285714 166.5 128 NA 168.6 153 116.25 119
9886 9886 113.857142857143 123 161.714285714286 166.2 113.75 134.5 160.4 167 85.75 57
9888 9888 111.714285714286 122.333333333333 158.714285714286 162.666666666667 115.714285714286 NA 155.6 167.75 86.25 96.66666667
9890 9890 118.166666666667 NA 160.428571428571 165.8 124.8 NA 163.2 NA 96 94.33333333
9891 9891 110.5 121.5 156.333333333333 161.166666666667 108 123 155.4 168 83 NA
9892 9892 113 NA 162.5 164.666666666667 122 135 159.8 NA 88.5 84.5
9894 9894 112.571428571429 124.25 164 165.666666666667 122.666666666667 144 166.8 NA 88.25 76.66666667
9895 9895 105.714285714286 113.5 153.5 161 102.75 NA 148.6 172 75.75 71
9897 9897 105 118.5 157 161.5 107.333333333333 NA 158.2 168.666666666667 81 81.5
9898 9898 125.714285714286 140 164.571428571429 168.4 122 116.5 164 165 97.75 97.25
9899 9899 106 122.25 159.714285714286 159.4 106.5 126 164 NA 70.75 58
9900 9900 87.5 84.5714285714286 128.571428571429 132.142857142857 84.4 90.3333333333333 118 169.5 53 50
9901 9901 132.4 NA 170.2 NA 133.5 NA 171.5 167 117 102.5
9902 9902 112.428571428571 123 161 162 109 137 161.6 NA 98 110.3333333
9903 9903 127.5 NA 164.571428571429 168 122 NA 167 NA 108 108.75
9904 9904 118.666666666667 129.75 163.428571428571 166 122.75 134 163 NA 107.5 114.6666667
9905 9905 118.428571428571 135 164 165.666666666667 125.75 NA 165.4 NA 89.75 95
9906 9906 99.7142857142857 109 148.285714285714 159.4 111.4 NA 158.5 164.25 88 80
9915 9915 108.2 114.25 163.428571428571 166.333333333333 113.75 NA 157.6 NA 84.25 75.5
9918 9918 113 125 160.375 163.2 98 NA 161 168.333333333333 81.25 90
9920 9920 109.333333333333 117 157.75 159.8 109.75 123 158.2 164.666666666667 64 48.66666667
9924 9924 111.166666666667 130 159.142857142857 163.6 119 134 164.6 167 66.5 57
9927 9927 110 118 157.833333333333 154.2 113.6 NA 149.333333333333 167 87.75 73.25
9928 9928 106 113.142857142857 151.555555555556 151.714285714286 102.6 NA 149.5 161 83.5 77
9933 9933 104.857142857143 100.142857142857 152.285714285714 155.75 104.75 107.333333333333 156 163.2 76.75 49
9937 9937 109.571428571429 111.4 159.428571428571 160.428571428571 123.5 109 157.166666666667 163 67 47.75
9938 9938 102.666666666667 107.5 151.333333333333 153.428571428571 105.2 NA 156 163.5 67.25 74
9941 9941 104.428571428571 99.8 154.428571428571 156.2 101 115 151.5 162.5 70 42.5
9944 9944 92.625 95.8333333333333 146.5 146.666666666667 92.3333333333333 NA 142.5 157.666666666667 75.75 68
9947 9947 120.8 119.75 162.142857142857 163.833333333333 115.666666666667 129.333333333333 161 166.333333333333 104.5 125
10006 10006 120.8 134.5 165.166666666667 165.8 120.25 135 164.25 169.5 113.5 131.5
10014 10014 123.571428571429 127 162.5 166.2 124 107 162.4 168 96.75 132
10020 10020 106.166666666667 111.833333333333 151.666666666667 155.571428571429 103.6 123.666666666667 154.5 162.333333333333 72.5 48
